,handle,text,is_retweet,retweet_count,favorite_count,sentiment
28,HillaryClinton,"['may', 'record', 'set', 'turnout', 'elect', 'could', 'biggest', 'turnout', 'ever']",False,556,1546,negative
29,HillaryClinton,['go'],False,661,1326,neutral
30,HillaryClinton,"['join', 'hillari', 'live', 'nc', 'first', 'ralli', 'sinc', 'win', 'last', 'night', 'debat']",False,1115,3941,positive
31,HillaryClinton,"['everyth', 'feel', 'plea']",True,1328,2435,negative
32,HillaryClinton,"['donald', 'critic', 'prepar', 'debat', 'know', 'el', 'prepar', 'prepar']",False,6185,16805,negative
33,realDonaldTrump,"['thank', 'endor']",False,4191,13152,positive
34,HillaryClinton,"['hillari', 'winner', 'first', 'presidenti', 'debat', 'newspap', 'across', 'america', 'agr']",False,2593,6269,positive
35,HillaryClinton,"['trump', 'sobr', 'alicia', 'machado', 'en', 'miss', 'piggi', 'esta', 'mañana', 'aumentó', 'mucho', 'de', 'peso', 'era', 'un', 'problema', 'serio']",True,2252,3264,negative
36,HillaryClinton,"['regist', 'vote', 'democrat', 'like']",True,1235,3206,positive
37,HillaryClinton,"['fortun', 'meet', 'young', 'american', 'countri', 'make', 'choic', 'mine']",True,804,2086,neutral
38,HillaryClinton,"['gain', 'massiv', 'amount', 'weight', 'real', 'problem', 'trump', 'morn', 'alicia', 'machado']",False,4829,7580,neutral
39,HillaryClinton,"['today', 'beaten', 'left', 'bloodi', 'amp', 'unconsci', 'everi', 'person', 'could', 'regist', 'vote', 'part']",True,20006,24333,neutral
40,HillaryClinton,"['million', 'american', 'regist', 'vote', 'better', 'get', 'regist', 'amp', 'spread', 'word']",True,1138,1554,positive
41,HillaryClinton,"['realli', 'realli', 'good', 'night']",False,8242,35744,positive
42,realDonaldTrump,"['great', 'honor', 'final', 'debat', 'poll', 'movement', 'win']",False,13576,27245,positive
43,HillaryClinton,"['regist', 'vote', 'go', 'get', 'engag']",False,1350,2874,neutral
44,HillaryClinton,"['glad', 'trump', 'found', 'crimea', 'part', 'ukrain', 'way', 'heard', 'verg', 'acknowledg', 'graviti']",False,5557,16289,positive
45,HillaryClinton,"['let', 'tell', 'built', 'damn', 'countri', 'middl', 'class', 'let', 'keep', 'build', 'togeth']",False,1453,4741,negative
46,HillaryClinton,"['one', 'moment', 'last', 'night', 'prove', 'hillari', 'candid', 'readi', 'lead', 'global', 'stage']",False,1452,4840,positive
47,realDonaldTrump,"['u', 'murder', 'increa', 'via']",False,5365,10729,negative
48,HillaryClinton,"['anyon', 'complain', 'microphon', 'problem', 'good', 'night', 'hillari']",False,4773,14979,negative
49,realDonaldTrump,['thank'],False,7255,17380,positive
50,realDonaldTrump,"['hillari', 'fail', 'year', 'get', 'job', 'done', 'never', 'chang']",False,12127,31856,negative
51,HillaryClinton,"['trump', 'alicia', 'miss', 'piggi', 'morn', 'gain', 'massiv', 'amount', 'weight', 'real', 'problem']",False,16476,22611,negative
52,realDonaldTrump,"['true', 'blue', 'collar', 'billionair', 'donald', 'trump', 'show', 'hillari', 'clinton', 'touch']",False,5827,14338,neutral
53,realDonaldTrump,"['trend', 'twitter', 'right', 'thank']",False,19561,52449,positive
54,realDonaldTrump,"['everi', 'poll', 'last', 'night', 'presidenti', 'debat', 'except', 'littl', 'watch', 'poll']",False,9598,29309,neutral
55,realDonaldTrump,"['trump', 'bar', 'full', 'undecid', 'democrat']",False,6704,15988,neutral
56,realDonaldTrump,"['realli', 'enjoy', 'debat', 'last', 'night', 'crook', 'hillari', 'say', 'go', 'mani', 'thing', 'done', 'last', 'year']",False,21628,59791,neutral
57,HillaryClinton,"['win', 'tempera', 'donald', 'trump', 'last', 'night', 'realli']",False,4120,10456,positive
58,HillaryClinton,"['one', 'person', 'last', 'night', 'stage', 'prepar', 'command', 'chief', 'make', 'sure', 'get', 'chanc']",False,6253,17113,neutral
59,realDonaldTrump,"['great', 'debat', 'poll', 'number', 'discus', 'enjoy']",False,4437,16423,positive
60,realDonaldTrump,"['thank', 'four', 'new', 'poll', 'movement', 'win', 'togeth', 'make', 'america', 'safe', 'amp', 'great']",False,10829,24078,positive
61,realDonaldTrump,"['first', 'presidenti', 'debat', 'poll', 'trump', 'clinton', 'join', 'movement', 'today', 'amp', 'let']",False,10763,24643,neutral
62,realDonaldTrump,"['thank', 'cnbc', 'poll', 'vote', 'trump', 'clinton']",False,16167,34480,positive
63,realDonaldTrump,"['time', 'poll', 'vote', 'thank']",False,12479,27258,positive
64,realDonaldTrump,"['said', 'histor', 'victori', 'trump', 'nice']",False,7709,24434,positive
65,HillaryClinton,"['tonight', 'prove', 'readi', 'presid', 'donald', 'trump', 'prove']",True,10733,30012,neutral
66,realDonaldTrump,"['wow', 'great', 'debat', 'poll', 'except', 'watch', 'thank']",False,12739,40321,positive
67,HillaryClinton,"['day', 'left', 'let', 'go', 'win', 'thing']",False,6505,21912,positive
68,realDonaldTrump,"['thank', 'governor']",False,5578,14830,positive
69,realDonaldTrump,"['thank', 'governor', 'let', 'make', 'america', 'safe', 'great', 'american', 'peopl']",False,7350,22113,positive
70,realDonaldTrump,"['thank', 'senat']",False,18519,39447,positive
71,HillaryClinton,"['girl', 'clear', 'candid', 'prepar', 'presid']",True,3229,10833,positive
72,HillaryClinton,[],False,36243,72815,neutral
73,HillaryClinton,"['donald', 'trump', 'call', 'miss', 'piggi', 'miss', 'housekeep', 'name', 'alicia', 'machado']",False,57182,74103,negative
74,HillaryClinton,"['hillari', 'clinton', 'need']",True,2277,6913,neutral
75,HillaryClinton,"['tonight', 'heard', 'two', 'candid', 'one', 'presid']",True,7576,20896,neutral
76,HillaryClinton,"['hillari', 'big', 'time', 'shut']",True,4682,12991,neutral
77,HillaryClinton,"['clinton', 'debat', 'part', 'stamen', 'trump', 'flag', 'badli', 'minut']",True,8546,22141,neutral
78,HillaryClinton,"['presid', 'realiti', 'show', 'real', 'get', 'make', 'sure', 'regist', 'vote']",False,8550,20188,neutral
79,HillaryClinton,"['text', 'imwithh', 'tell', 'hillari', 'team', 'way', 'elect', 'day']",False,3134,12026,neutral
80,HillaryClinton,"['gracia', 'señora', 'su', 'respeto', 'la', 'mujer', 'nuestra', 'diferencia', 'la', 'hacen', 'grand', 'estoy', 'con', 'ust']",True,11939,22707,positive
81,HillaryClinton,"['rt', 'proud', 'stand', 'hillari', 'tonight']",False,80169,80678,positive
82,HillaryClinton,"['hillari', 'prove', 'candid', 'readi', 'presid', 'chip', 'let', 'go', 'win', 'thing']",False,5065,16336,positive
83,realDonaldTrump,"['nuclear', 'agreement', 'pave', 'way', 'million', 'ransom', 'payment']",False,8575,19522,neutral
84,realDonaldTrump,"['noth', 'email', 'noth', 'corrupt', 'clinton', 'foundat', 'noth']",False,30921,56562,negative
85,HillaryClinton,"['donald', 'trump', 'say', 'win', 'tempera']",False,26656,48875,positive
86,HillaryClinton,"['woman', 'trump', 'call', 'miss', 'piggi', 'name', 'alicia']",False,23394,36574,negative
87,realDonaldTrump,"['obama', 'strategi', 'allow', 'expand', 'becom', 'global', 'threat']",False,6680,15499,negative
88,HillaryClinton,"['donald', 'trump', 'spend', 'hour', 'testifi', 'front', 'congress', 'committ', 'talk', 'stamen', 'hillari']",False,20652,46042,neutral
89,realDonaldTrump,"['call', 'support', 'nafta', 'search', 'moment', 'tonight', 'debat']",True,6139,13209,positive
90,HillaryClinton,"['donald', 'trump', 'cavali', 'attitud', 'nuclear', 'weapon', 'deepli', 'troubl']",False,5011,13026,neutral
91,realDonaldTrump,"['russia', 'warhead', 'ever', 'n', 'korea', 'test', 'nuke', 'iran', 'got', 'sweetheart', 'deal', 'keep', 'thank']",False,11851,26791,positive
92,HillaryClinton,"['barack', 'obama', 'presid']",False,17402,38775,neutral
93,HillaryClinton,"['man', 'provok', 'tweet', 'hand', 'anywh', 'near', 'nuclear', 'code']",False,45008,82338,neutral
94,realDonaldTrump,"['hillari', 'clinton', 'fail', 'world', 'libya', 'syria', 'iran', 'iraq', 'asia', 'pivot', 'russian', 'reset', 'benghazi']",False,21745,40457,negative
95,HillaryClinton,"['go', 'without', 'say', 'take', 'nuclear', 'war', 'lightli', 'disqualifi', 'anyon', 'seek', 'presid', 'th']",False,5820,13113,neutral
96,HillaryClinton,"['donald', 'trump', 'say', 'better', 'tempera', 'hillari', 'clinton', 'fact', 'check', 'donald', 'trump']",True,5646,10367,positive
97,realDonaldTrump,"['true', 'gt', 'right', 'call', 'tpp', 'gold', 'standard']",True,7419,12728,positive
98,realDonaldTrump,"['hillari', 'clinton', 'candid', 'stage', 'vote', 'iraq', 'war']",False,9001,20725,neutral
99,realDonaldTrump,"['campaign', 'support', 'traffick', 'rumor', 'obama', 'heritag']",False,5763,12471,neutral
100,realDonaldTrump,"['hillari', 'polici', 'made', 'america', 'le', 'safe', 'gener', 'militari', 'leader', 'endor']",True,4741,10739,positive
101,HillaryClinton,"['hope', 'fact', 'checker', 'turn', 'volum', 'donald', 'trump', 'support', 'inva', 'iraq']",False,7062,12598,positive
102,HillaryClinton,"['still', 'true']",True,1387,2339,neutral
103,HillaryClinton,"['deal', 'donald', 'trump', 'russia']",False,2540,4893,neutral
104,HillaryClinton,"['trump', 'top', 'russia', 'advisor', 'probe', 'meet', 'kremlin', 'aid', 'charg', 'u', 'elect', 'intellig']",True,1213,1638,positive
105,realDonaldTrump,"['jess', 'jackson', 'donat', 'space', 'rainbow', 'push', 'coalit']",True,5055,8520,neutral
106,HillaryClinton,"['donald', 'trump', 'goe', 'low', 'go', 'high']",False,6189,16416,neutral
107,HillaryClinton,"['man', 'su', 'discrimin', 'black', 'tenant', 'amp', 'push', 'birther', 'give', 'idea', 'kind', 'presid']",False,13915,26574,neutral
108,HillaryClinton,"['one', 'busi', 'practic', 'led', 'donald', 'trump', 'su', 'discrimin']",True,1523,1946,positive
109,HillaryClinton,"['donald', 'trump', 'answer', 'five', 'year', 'push', 'racist', 'birther', 'conspiraci', 'theori', 'say', 'noth']",False,6274,13551,negative
110,HillaryClinton,"['trump', 'critic', 'prepar', 'debat', 'know', 'el', 'prepar', 'presid']",False,51681,102655,negative
111,HillaryClinton,"['presid', 'obama', 'born', 'unit', 'state', 'american', 'trump', 'one', 'reason', 'refu', 'admit']",False,6818,17734,neutral
112,HillaryClinton,"['still', 'complet', 'lie']",False,4564,7201,negative
113,HillaryClinton,"['donald', 'trump', 'concern', 'pander', 'gun', 'lobbi', 'keep', 'famili', 'safe']",False,7324,13832,negative
114,HillaryClinton,"['fact', 'trump', 'answer', 'question', 'racial', 'injust', 'need', 'law', 'order', 'pretti', 'much', 'say']",False,10882,21951,neutral
115,HillaryClinton,"['got', 'address', 'system', 'racism', 'crimin', 'justic', 'system', 'end', 'privat', 'prison']",False,2587,6006,negative
116,HillaryClinton,"['hillari', 'clinton', 'took', 'charg', 'first', 'presidenti', 'debat']",True,1259,2676,neutral
117,realDonaldTrump,"['stand', 'polic', 'protect', 'american']",False,12173,33572,positive
118,HillaryClinton,"['go', 'bring', 'new', 'york', 'unconstitut', 'stop', 'frisk', 'program', 'nationwid']",False,6923,17156,neutral
119,realDonaldTrump,"['potu', 'famili', 'go', 'safe', 'secur', 'law', 'order', 'restor']",True,4550,11239,positive
120,HillaryClinton,"['mayb', 'good', 'job', 'donald', 'trump', 'look', 'like', 'love', 'time']",False,4435,8347,positive
121,realDonaldTrump,"['watch', 'stake', 'elect']",True,1936,5930,neutral
122,HillaryClinton,"['time', 'countri', 'somebodi', 'run', 'idea', 'money', 'trump']",False,2469,5868,negative
123,HillaryClinton,"['pay', 'zero', 'tax', 'make', 'smart', 'make', 'tax', 'evad']",False,20195,33668,positive
124,HillaryClinton,"['wonder', 'donald', 'trump', 'hide', 'tax', 'return']",False,8568,15157,positive
125,realDonaldTrump,"['simpl', 'fact', 'typic', 'politician', 'talk', 'action']",False,13308,32127,neutral
126,HillaryClinton,"['legit', 'reason', 'relea', 'return', 'audit', 'scare', 'relea', 'earlier', 'return', 'longer', 'audit']",True,11973,15567,negative
127,realDonaldTrump,"['hillari', 'bad', 'tax', 'habit']",False,11774,21663,negative
128,realDonaldTrump,"['clinton', 'economi', 'tax', 'spend']",False,7878,16568,neutral
129,realDonaldTrump,"['part', 'rig', 'dc', 'system', 'year', 'would', 'take', 'polici', 'advic']",False,9707,22634,neutral
130,realDonaldTrump,"['instead', 'drive', 'job', 'wealth', 'away', 'america', 'becom', 'world', 'great', 'magnet', 'innov', 'job', 'creati']",False,7189,19174,positive
131,HillaryClinton,"['spirit', 'friendship', 'donald', 'trump', 'isi', 'plan', 'consid']",True,4128,5914,neutral
132,HillaryClinton,"['donald', 'trump', 'may', 'live', 'realiti', 'got', 'word', 'right', 'check']",False,5904,8292,positive
133,realDonaldTrump,"['channel', 'john', 'kerri', 'trade', 'bad', 'trade', 'deal']",False,5045,13196,negative
134,HillaryClinton,"['step', 'confront', 'climat', 'chang', 'save', 'planet', 'invest', 'clean', 'energi', 'noth']",False,2751,6025,neutral
135,HillaryClinton,"['never', 'said', 'donald', 'trump', 'said']",False,91670,134808,neutral
136,HillaryClinton,"['call', 'busi', 'donald', 'trump', 'hou', 'crash', 'million', 'american', 'call', 'lose', 'home']",False,12980,20267,negative
137,realDonaldTrump,"['obama', 'polici', 'increa', 'debt', 'trillion', 'last', 'year']",False,7836,17385,negative
138,HillaryClinton,"['economist', 'project', 'trump', 'plan', 'would', 'add', 'nation', 'debt', 'trillion']",False,3322,6308,negative
139,HillaryClinton,"['donald', 'trump', 'seem', 'think', 'million', 'small', 'loan']",True,1738,2478,neutral
140,HillaryClinton,"['everi', 'time', 'trump', 'make', 'show', 'rail', 'outsourc', 'rememb', 'countri', 'ship', 'job', 'profit']",False,3721,5734,negative
141,realDonaldTrump,"['administr', 'bring', 'job', 'back']",True,3928,8756,neutral
142,HillaryClinton,"['small', 'busi', 'owner', 'dad', 'may', 'get', 'multi', 'million', 'dollar', 'bailout', 'teach', 'va']",False,2537,9180,neutral
143,HillaryClinton,"['mani', 'trump', 'product', 'made', 'oversea', 'complet', 'list']",True,1656,1563,neutral
144,HillaryClinton,"['one', 'candid', 'stage', 'support', 'work', 'famili']",False,3732,7138,positive
145,HillaryClinton,"['build', 'economi', 'work', 'everyon', 'top']",False,2745,6299,positive
146,HillaryClinton,"['watch', 'live', 'hillari', 'take', 'stage', 'first', 'presidenti', 'debat']",False,804,2137,neutral
147,HillaryClinton,['let'],False,24233,78491,neutral
148,realDonaldTrump,"['hillari', 'clinton', 'point', 'ahead']",False,16770,31043,neutral
149,HillaryClinton,"['hillari', 'time', 'show', 'chip', 'tonight', 'debat', 'back']",False,1293,4038,neutral
150,HillaryClinton,"['matter', 'donald', 'say', 'tonight', 'debat', 'alreadi', 'know', 'real', 'trump', 'follow', 'fa']",False,6014,11459,neutral
151,HillaryClinton,"['hillari', 'set', 'take', 'debat', 'stage', 'pm', 'et', 'watch']",False,1231,3435,negative
152,realDonaldTrump,"['join', 'offici', 'social', 'medium', 'platform', 'tonight', 'debat', 'manag', 'rapid']",True,3532,8312,positive
153,HillaryClinton,"['blame', 'littl', 'john', 'meat', 'loaf', 'fire', 'gari', 'busey', 'kind', 'deci', 'would', 'keep']",False,5463,12162,negative
154,realDonaldTrump,"['team', 'deplor', 'manag', 'twitter', 'account', 'even', 'debat', 'tune']",False,19836,57971,neutral
155,HillaryClinton,"['studi', 'donald', 'trump', 'would', 'rai', 'tax', 'million', 'middl', 'class', 'famili']",True,1505,1763,neutral
156,HillaryClinton,"['question', 'trump', 'still', 'need', 'answer']",False,1747,2989,neutral
157,HillaryClinton,"['watch', 'watch', 'tonight', 'debat']",False,5088,9479,neutral
158,HillaryClinton,"['trump', 'told', 'outright', 'lie', 'last', 'week', 'keep', 'honest', 'tonight', 'debat', 'follow', 'get', 'th']",False,10152,18575,neutral
159,HillaryClinton,"['presid', 'role', 'model', 'gener', 'child', 'exampl', 'want']",False,1607,3601,neutral
160,HillaryClinton,"['hillari', 'clinton', 'billion', 'plan', 'stop', 'heroin', 'epidem', 'donald', 'trump', 'slogan']",True,1218,2365,neutral
161,HillaryClinton,"['headlin', 'trump', 'lie', 'one', 'week', 'campaign', 'imagin', 'four', 'year', 'presid']",False,3653,6195,negative
162,HillaryClinton,"['everyth', 'need', 'know', 'watch', 'tonight', 'debat']",False,2070,3514,neutral
163,HillaryClinton,"['tonight', 'hillari', 'debat', 'trump', 'first', 'time', 'follow', 'make', 'sure', 'held', 'account', 'fact']",False,2967,6929,neutral
164,realDonaldTrump,"['show', 'surg', 'camp', 'defen', 'lower', 'expect', 'go']",True,7925,18329,neutral
165,HillaryClinton,"['remind', 'head', 'tonight', 'debat']",False,4144,8868,neutral
166,HillaryClinton,"['donald', 'trump', 'man', 'dwell', 'bigotri', 'bluster', 'fal', 'promi']",False,2638,5098,neutral
167,HillaryClinton,"['job', 'take', 'matur', 'compass', 'wisdom', 'one', 'candid', 'take']",True,2967,7022,positive
168,HillaryClinton,"['daughter', 'deserv', 'better']",False,7164,14549,positive
169,HillaryClinton,"['singl', 'live', 'presid', 'endor', 'donald', 'trump']",False,5330,9552,neutral
170,HillaryClinton,"['trump', 'win', 'tonight', 'debat', 'lie', 'american', 'peopl']",False,6678,11110,neutral
171,HillaryClinton,"['rt', 'got', 'hillari', 'back', 'tonight']",False,28185,29457,neutral
172,realDonaldTrump,"['new', 'nation', 'bloomberg', 'poll', 'relea', 'thank', 'join', 'movement']",False,11472,28638,positive
173,HillaryClinton,"['come', 'togeth', 'problem', 'solv', 'divid', 'heal']",False,3467,8058,neutral
174,realDonaldTrump,"['realli', 'sad', 'news', 'great', 'arnold', 'palmer', 'king', 'die', 'one', 'like', 'true', 'champion', 'truli', 'miss']",False,17061,60847,neutral
175,HillaryClinton,"['today', 'sacrif', 'gold', 'star', 'famili', 'weigh', 'heavier', 'mind', 'thank', 'fight', 'get', 'care', 'amp', 'benefit', 'deserv', 'h']",False,2619,9128,positive
176,realDonaldTrump,"['five', 'peopl', 'kill', 'washington', 'state', 'middl', 'eastern', 'immigr', 'mani', 'peopl', 'die', 'weekend', 'ohio', 'drug', 'overdo', 'n', 'c', 'riot']",False,11289,29909,negative
177,HillaryClinton,"['year', 'ago', 'brave', 'student', 'integr', 'central', 'high', 'school', 'chang', 'cour', 'histori', 'let', 'recommit', 'fi']",False,6422,18298,positive
178,HillaryClinton,"['let', 'send', 'donald', 'trump', 'world', 'clear', 'messag']",False,3904,8583,positive
179,HillaryClinton,"['imagin', 'donald', 'trump', 'sit', 'situat', 'room', 'make', 'life', 'death', 'deci', 'behalf', 'unit', 'state']",False,10237,16475,negative
180,HillaryClinton,"['nyt', 'editori', 'board', 'say', 'donald', 'trump', 'presid']",True,4288,5959,neutral
181,HillaryClinton,"['take', 'trump', 'readi', 'respon', 'presid']",True,7563,12670,neutral
182,HillaryClinton,"['hillari', 'one', 'qualifi', 'peopl', 'ever', 'run', 'offic', 'easili', 'earn', 'endor']",False,2735,6706,negative
183,HillaryClinton,"['veteran', 'famili', 'deserv', 'presid', 'disrespect', 'disparag', 'sacrif']",False,3927,8328,negative
184,realDonaldTrump,"['readout', 'meet', 'isra', 'prime', 'minist', 'benjamin', 'netanyahu']",False,11555,30493,neutral
185,HillaryClinton,"['way', 'hillari', 'polici', 'would', 'help', 'daili', 'life']",False,1563,3129,neutral
186,HillaryClinton,"['war', 'hero', 'gold', 'star', 'parent', 'want', 'know', 'back', 'presid']",True,1516,2897,positive
187,HillaryClinton,"['trump', 'word', 'best', 'evid', 'fit', 'presid']",True,2620,4385,positive
188,HillaryClinton,"['gold', 'star', 'famili', 'made', 'sacrif', 'u', 'even', 'fathom', 'deserv', 'respect', 'thank']",False,3281,8593,positive
189,HillaryClinton,"['one', 'live', 'presid', 'said', 'believ', 'donald', 'trump', 'take', 'command', 'chief']",False,7952,14148,neutral
190,HillaryClinton,"['meet', 'three', 'woman', 'inspir', 'hillari', 'becom', 'person', 'today']",False,1765,5867,neutral
191,realDonaldTrump,"['look', 'forward', 'meet', 'benjamin', 'netanyahu', 'trump', 'tower']",False,8533,31212,neutral
192,HillaryClinton,"['endor', 'root', 'respect', 'intellect', 'experi', 'tough', 'courag', 'hillari']",False,3246,7907,positive
193,realDonaldTrump,"['berni', 'sander', 'gave', 'hillari', 'dem', 'nomin', 'gave', 'e', 'mail', 'issu', 'gotten', 'bigger']",False,8490,26708,neutral
194,realDonaldTrump,"['mani', 'team', 'staff', 'berni', 'sander', 'treat', 'badli', 'hillari', 'clinton', 'campaign', 'like', 'trump', 'trade', 'lot']",False,8572,28770,positive
195,HillaryClinton,"['new', 'overdu', 'tribut', 'african', 'american', 'histori', 'let', 'build', 'open', 'inclu', 'futur', 'reflect', 'past', 'h']",False,3487,11181,neutral
196,realDonaldTrump,"['thank', 'roanok', 'virginia', 'movement', 'join', 'u', 'today', 'sign']",False,6424,20699,positive
197,HillaryClinton,"['choic', 'hillari', 'clinton', 'record', 'servic', 'raft', 'pragmat', 'idea', 'endor', 'hillari']",False,2314,5977,neutral
198,HillaryClinton,"['thought', 'woman', 'want', 'ride', 'roxi', 'republican', 'small', 'busi', 'owner', 'meet', 'hillari']",False,4796,11582,neutral
199,HillaryClinton,"['hillari', 'fight', 'woman', 'girl', 'entir', 'career', 'get', 'start']",False,3063,7546,neutral
200,HillaryClinton,"['lifetim', 'commit', 'solv', 'problem', 'real', 'world', 'qualifi', 'hillari', 'clinton', 'job']",False,3454,8113,negative
201,HillaryClinton,"['know', 'well', 'donald', 'trump', 'let', 'make', 'sure', 'never', 'becom', 'presid']",False,4003,9250,positive
202,HillaryClinton,"['rt', 'believ', 'make', 'sure', 'regist', 'vote']",False,5254,7252,neutral
203,realDonaldTrump,"['dopey', 'mark', 'cuban', 'fail', 'benefactor', 'fame', 'want', 'sit', 'front', 'row', 'perhap', 'put', 'gennif', 'flower', 'right', 'alongsid']",False,31655,67133,positive
204,HillaryClinton,"['nyt', 'editori', 'board', 'endor', 'hillari', 'clinton', 'presid']",True,4585,8232,neutral
205,HillaryClinton,"['donald', 'trump', 'see', 'peopl', 'like', 'anastasia', 'see', 'disabl']",False,3907,8181,positive
206,realDonaldTrump,"['back', 'virginia', 'tonight', 'pm', 'ralli', 'berglund', 'center', 'roanok', 'join', 'ticket']",False,4765,16323,neutral
207,realDonaldTrump,"['trump', 'head', 'win', 'say', 'professor', 'predict', 'year', 'presidenti', 'outcom']",False,10001,24962,positive
208,realDonaldTrump,"['endor', 'wonder', 'surpri', 'greatli', 'appreci', 'support', 'tremend', 'victori', 'novemb', 'th']",False,12658,43068,positive
209,realDonaldTrump,"['today', 'day', 'knock', 'door', 'make', 'call', 'u', 'nation', 'day', 'action']",False,7006,19238,negative
210,realDonaldTrump,"['crook', 'hillari', 'bad', 'judgement', 'forc', 'announc', 'would', 'go', 'charlott', 'saturday', 'grandstand', 'dem', 'pol', 'said', 'way', 'dumb']",False,9338,28604,negative
211,HillaryClinton,"['hillari', 'clinton', 'one', 'best', 'prepar', 'candid', 'seek', 'presid']",False,3025,7505,positive
212,HillaryClinton,"['tell', 'girl', 'run', 'offic']",True,1464,2652,negative
213,HillaryClinton,"['young', 'woman', 'countri', 'donald', 'trump', 'presid', 'think']",False,14240,24144,neutral
214,HillaryClinton,"['republican', 'turn', 'back', 'peopl', 'flint', 'wait', 'far', 'long', 'help', 'w']",False,5251,8284,neutral
215,HillaryClinton,"['blown', 'away', 'year', 'old', 'girl', 'hillari', 'meet', 'disabl', 'right', 'advoc']",False,1415,4139,positive
216,HillaryClinton,"['toler', 'anyon', 'talk', 'daughter', 'like', 'either']",True,10548,19228,positive
217,HillaryClinton,"['donald', 'trump', 'commit', 'perjuri', 'look', 'face', 'republican', 'faith', 'knowingli', 'lie']",False,4617,6886,neutral
218,HillaryClinton,"['enquir', 'editori', 'board', 'endor', 'hillari', 'clinton', 'presid', 'break', 'nearli', 'centuri', 'long', 'tradit', 'endor', 'republican']",True,3141,5148,negative
219,HillaryClinton,"['hillari', 'clinton', 'would', 'make', 'sober', 'smart', 'pragmat', 'presid', 'donald', 'trump', 'would', 'catastroph']",False,3011,7104,neutral
